city,lat,lng
کوٹ مٹھن,28.95,70.36
سودھرا,32.47,74.18
کالاباغ,32.97,71.55
کمار مشانی,32.85,71.37
دھدر,29.48,67.64
ہرنولی,32.28,71.55
سرائے سدھو,30.6,71.97
سوہاوہ,33.13,73.42
گڑھی یاسین,27.91,68.5
میڈی جی,27.75,68.45
ڈوکری,27.38,68.1
چوآ سیدان شاہ,32.72,72.98
تھانو بولا خان,25.37,67.83
میانی,26.44,67.7
دالبندین,28.88,64.44
سوبھوڈیرو,27.3,68.4
بھاگ,29.04,67.82
دولت پور,26.51,67.96
دریا خان,31.79,71.1
ڈیرہ دین پناہ,30.57,70.93
چک,27.87,68.83
بافہ,34.43,73.22
ٹنڈو باگھو,24.8,68.97
رسول نگر,32.32,73.78
گڑھی خیرو,28.06,67.97
کاندھرا,27.29,67.96
شاہ پور,32.28,72.47
لکھی,27.85,68.7
گدانی,25.12,66.73
قائد آباد,24.85,67.22
وڈھ,27.34,66.37
سوراب,28.49,66.26
اورماڑہ,25.22,64.63
ہنزہ,36.3,74.64
باغ,33.98,73.77
چمبڑ,25.3,68.82
ٹبہ سلطان پور,29.97,71.87
منڈی صادق گنج,30.17,73.73
روجھان,28.69,69.95
اسلام کوٹ,24.7,70.17
قلعہ سوبھا سنگھ,30.78,73.84
بھیریا سٹی,26.92,68.2
میرواہ,25.32,69.05
کالس والا,32.2,74.65
للیانی,32.2,72.95
دھونکل,32.4,74.13
ڈپلو,24.47,69.58
قادر آباد,34.09,71.57
نصرپور,25.52,68.62
سرہاری,26.1,68.48
دولتالہ,33.2,73.15
کوہلو,29.9,69.23
ہرنائی,30.1,67.93
ٹھری میرواہ,25.3,69.05
دڑو,24.78,68.18
میرو خان,27.77,68.1
جنڈیالہ شیرخان,31.82,73.92
منکیرہ,31.38,71.44
گلگت,35.92,74.29
سنجوال,33.77,72.43
کھدرو,26.15,68.72
بیرانی,25.79,68.8
پکا چانگ,26.86,68.36
تنگوانی,28.29,69.0
بوزدار,27.19,68.63
جاتی,24.35,68.26
رستم,27.97,68.8
دوآبہ,33.42,70.73
دریا خان ماری,26.68,68.28
صحبت پور,28.52,68.55
بیگووالہ,32.43,74.27
میرپور بٹھورو,24.73,68.25
سان,26.03,68.13
سامارو,25.28,69.4
بارکھان,29.91,69.51
بخششاپور,28.39,69.37
بندی,26.6,68.3
کروندی,26.89,68.45
کرم پور,26.46,67.84
میرپور ساکرو,24.55,67.63
عادل پور,27.94,69.31
کنب,24.98,67.22
باگرجی,27.75,68.75
پھول جی,26.89,67.68
راجو خانانی,24.98,68.85
خیبر,34.18,73.25
جام صاحب,26.3,68.62
کنڈیاری,26.92,68.52
کدھن,24.49,68.98
گیریلو,27.44,68.08
پتھورو,25.52,69.38
دکی,30.15,68.56
نبیسر,25.07,69.65
کریو گھنوار,24.82,68.6
جام نواز علی,25.78,68.85
شاہ دیپالی,25.52,69.23
بلری,24.87,68.33
علیزئی,33.54,70.35
میرام شاہ,33.0,70.06
چیراٹ,33.82,71.88
کیٹی بندر,24.13,67.45
ٹنڈو مٹھا خان,25.99,69.2
کوتل,34.1,71.15
لنڈی کوتل,34.1,71.15
وانا,32.3,69.57
شن پوخ,34.33,71.18
زیارت,30.39,67.73
مری گلیز کنٹونمنٹ,30.39,67.73
لیہ,30.96,70.94
گندوا,28.61,67.49
راولا کوٹ,33.86,73.76
آواران,26.46,65.23
پاراچنار,33.89,70.10
موسیٰ خیل,30.86,69.82
لکی,32.61,70.91
الپورائی,34.9,72.66
صدیق آباد,28.30,70.13
آٹھ مقام,34.57,73.89
کندھ کوٹ,28.4,69.3
شکارپور,27.95,68.64
مالاکنڈ,34.56,71.93
ٹنڈو الہ یار,25.46,68.72
بٹگرام,34.68,73.02
سیدو شریف,34.75,72.36
پنجگور,26.96,64.09
کوٹلی,33.52,73.90
نواب شاہ,26.24,68.41
داسو,35.29,73.29
جامشورو,25.42,68.28
میرپور,25.52,69.01
اٹک خورد,33.76,72.36
علی آباد,36.31,74.62
ڈگر,34.51,72.48
احمدپور شرقیہ,29.14,71.26
چلاس,35.42,74.09
لالہ موسیٰ,32.70,73.96
عبدالحکیم,30.55,72.12
مینگورہ,34.77,72.36
دینور,35.92,74.38
گاہکوچ,36.17,73.76
نیو میرپور,33.13,73.75
قلعہ سیف اللہ,30.70,68.36
چشتیاں,29.79,72.86
چناب نگر,31.75,72.92
وہاڑی,30.04,72.35
